Name,Artist
"Saturday Sun","Vance Joy"
"Silver Lining","Mt. Joy"
"28","Zach Bryan"
"Close To You","Gracie Abrams"
"Carry You Home","Alex Warren"
"Belong Together","Mark Ambor"
"Pink Skies","Zach Bryan"
"Would That I","Hozier"
"Sailor Song","Gigi Perez"
"Little Lion Man","Mumford & Sons"
"Cigarette Daydreams","Cage The Elephant"
"Little Talks","Of Monsters and Men"
"Just A Little While","The 502s"
"I Will Wait","Mumford & Sons"
"Like Real People Do","Hozier"
"Sun to Me","Zach Bryan"
"Evergreen","Richy Mitch & The Coal Miners"
"Cleopatra","The Lumineers"
"Maine","Noah Kahan"
"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan"
"Beige","Yoke Lore"
"Tongue Tied","GROUPLOVE"
"3 Nights","Dominic Fike"
"From Eden","Hozier"
"All My Love","Noah Kahan"
"Mountain Sound","Of Monsters and Men"
"Jackie and Wilson","Hozier"
"Brazil","Declan McKenna"
"Empire","Dean Lewis"
"Youâ€™re Gonna Go Far","Noah Kahan"
"I Will Wait","Mumford & Sons"
"I Feel Good About This","The Mowgli's"
"Someone New","Hozier"
